taxonomy_id,name,parent_id,parent_name
101,Emergency,,
101-01,Disaster Response,101,Emergency
101-02,Emergency Cash,101,Emergency
101-02-01,Help Pay for Food,101-02,Emergency Cash
101-03,Emergency Food,101,Emergency
102,Food,,
102-01,Community Gardens,102,Food
103,Housing,,
103-01,Emergency Shelter,103,Housing
